type,entry_time,exit_time,entry_price,exit_price,sl,tp,pnl,commission,balance_after,valid_trade
SELL,2025-01-13 23:30:00,2025-01-13 23:45:00,2665.48,2669.1142857142854,2669.1142857142854,2660.0285714285715,-3.6342857142853973,0.0,96.3657142857146,True
SELL,2025-01-13 23:45:00,2025-01-14 00:30:00,2666.33,2669.8571428571427,2669.8571428571427,2661.039285714286,-3.527142857142735,0.0,92.83857142857187,True
BUY,2025-02-05 14:00:00,2025-02-05 15:00:00,2862.05,2873.795,2854.2200000000003,2873.795,11.74499999999989,0.0,104.58357142857176,True
BUY,2025-02-18 10:45:00,2025-02-18 12:30:00,2908.4500000000003,2916.2328571428575,2903.261428571429,2916.2328571428575,7.78285714285721,0.0,112.36642857142897,True
BUY,2025-05-16 02:45:00,2025-05-16 08:15:00,3221.21,3206.3085714285717,3206.3085714285717,3243.562142857143,-14.901428571428369,0.0,97.4650000000006,True
BUY,2025-05-25 23:15:00,2025-05-25 23:30:00,3351.7900000000004,3343.667142857143,3343.667142857143,3363.974285714286,-8.122857142857356,0.0,89.34214285714324,True
SELL,2025-06-17 00:30:00,2025-06-17 04:00:00,3398.43,3387.8442857142854,3405.4871428571428,3387.8442857142854,10.585714285714403,0.0,99.92785714285765,True
BUY,2025-08-04 02:15:00,2025-08-04 04:45:00,3349.9100000000003,3359.621428571429,3343.4357142857148,3359.621428571429,9.711428571428769,0.0,109.63928571428642,True
BUY,2025-08-24 23:15:00,2025-08-25 01:45:00,3367.96,3363.73,3363.73,3374.3050000000003,-4.230000000000018,0.0,105.4092857142864,True
BUY,2025-10-01 13:45:00,2025-10-01 15:45:00,3875.3100000000004,3863.5700000000006,3863.5700000000006,3892.92,-11.739999999999782,0.0,93.66928571428662,True
SELL,2025-10-02 20:30:00,2025-10-03 04:30:00,3856.83,3839.715,3868.24,3839.715,17.11499999999978,0.0,110.7842857142864,True
BUY,2025-12-23 06:15:00,2025-12-23 07:45:00,4471.679999999999,4489.349999999999,4459.899999999999,4489.349999999999,17.670000000000073,0.0,128.45428571428647,True
BUY,2026-01-20 13:30:00,2026-01-20 13:45:00,4719.61,4735.949285714285,4708.717142857143,4735.949285714285,16.339285714285325,0.0,144.7935714285718,True
BUY,2026-01-23 08:15:00,2026-01-23 08:30:00,4942.48,4928.301428571428,4928.301428571428,4963.747857142856,-14.17857142857156,0.0,130.61500000000024,True
BUY,2026-01-26 13:45:00,2026-01-26 16:00:00,5071.389999999999,5100.5092857142845,5051.977142857142,5100.5092857142845,29.11928571428507,0.0,159.7342857142853,True
BUY,2026-02-18 09:00:00,2026-02-18 12:45:00,4917.42,4938.289285714285,4903.507142857143,4938.289285714285,20.86928571428507,0.0,180.60357142857038,True
BUY,2026-02-23 07:00:00,2026-02-23 07:15:00,5145.969999999999,5132.257142857142,5132.257142857142,5166.539285714285,-13.712857142857501,0.0,166.89071428571287,True
BUY,2026-02-23 07:30:00,2026-02-23 12:30:00,5136.73,5163.453571428571,5118.914285714285,5163.453571428571,26.72357142857163,0.0,193.6142857142845,True
SELL,2026-03-19 01:45:00,2026-03-19 06:15:00,4864.2,4822.455,4892.03,4822.455,41.74499999999989,0.0,235.3592857142844,True
SELL,2026-03-19 19:15:00,2026-03-20 03:00:00,4654.29,4705.171428571429,4705.171428571429,4577.967857142857,-50.88142857142884,0.0,184.47785714285556,True
BUY,2026-03-25 05:30:00,2026-03-25 06:00:00,4555.84,4534.984285714286,4534.984285714286,4587.123571428571,-20.855714285714384,0.0,163.62214285714117,True
BUY,2026-03-25 06:15:00,2026-03-25 11:15:00,4538.889999999999,4572.879999999999,4516.23,4572.879999999999,33.98999999999978,0.0,197.61214285714095,True
BUY,2026-04-17 20:15:00,2026-04-17 20:45:00,4846.139999999999,4831.159999999999,4831.159999999999,4868.610000000001,-14.980000000000473,0.0,182.63214285714048,True
SELL,2026-05-20 00:30:00,2026-05-20 01:15:00,4501.58,4479.628571428571,4516.214285714286,4479.628571428571,21.95142857142855,0.0,204.58357142856903,True
SELL,2026-05-20 07:15:00,2026-05-20 11:15:00,4480.92,4500.052857142858,4500.052857142858,4452.220714285714,-19.132857142857574,0.0,185.45071428571146,True
SELL,2026-06-10 06:30:00,2026-06-10 07:45:00,4211.39,4185.17642857143,4228.865714285714,4185.17642857143,26.213571428570503,0.0,211.66428571428196,True
BUY,2026-06-15 06:30:00,2026-06-15 08:00:00,4305.349999999999,4328.154285714285,4290.147142857143,4328.154285714285,22.80428571428547,0.0,234.46857142856743,True
